rule_id,authority_type,district,plot_area_min_sqm,plot_area_max_sqm,road_width_min_m,road_width_max_m,front_setback_m,rear_setback_m,side_setback_left_m,side_setback_right_m,max_height_m,max_floors,fsi,max_ground_coverage_pct,setback_for_facing_N,setback_for_facing_S,setback_for_facing_E,setback_for_facing_W,compound_wall_height_max_m,parking_requirement,annotation_text,regulation_reference,effective_date,special_condition
107,DTCP,Cuddalore,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
108,DTCP,Cuddalore,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
109,DTCP,Mayiladuthurai,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
110,DTCP,Mayiladuthurai,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
111,DTCP,Mayiladuthurai,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
112,DTCP,Thiruvarur,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
113,DTCP,Thiruvarur,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
114,DTCP,Thiruvarur,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
115,DTCP,Ariyalur,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
116,DTCP,Ariyalur,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
117,DTCP,Ariyalur,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
118,DTCP,Perambalur,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
119,DTCP,Perambalur,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
120,DTCP,Perambalur,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
121,DTCP,Kallakurichi,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
122,DTCP,Kallakurichi,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
123,DTCP,Kallakurichi,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
124,DTCP,Ranipet,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
125,DTCP,Ranipet,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
126,DTCP,Ranipet,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
127,DTCP,Tirupattur,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
128,DTCP,Tirupattur,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
129,DTCP,Tirupattur,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
130,DTCP,Pudukkottai,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
131,DTCP,Pudukkottai,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
132,DTCP,Pudukkottai,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
